id,name_en,name_ger,description,alternativenames_en,alternativenames_ger,typos_en,typos_ger,link,Cat_I,Cat_II,Cat_III
116,hydria,Hydria,Wassergefäß,hydriai,Hydrien,NULL,NULL,https://www.wikidata.org/wiki/Q745783,Vessel-Jar,NULL,NULL
117,"ivy leaf",Efeublatt,NULL,"ivy leaves",,NULL,NULL,https://www.wikidata.org/wiki/Q26354,Ornaments,NULL,NULL
118,"ivy wreath",Efeukranz,NULL,"ivy wreaths",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q41977532,Ornaments,NULL,NULL
119,jar,Krug,NULL,"jars, jug, jugs",Kanne,NULL,NULL,https://www.wikidata.org/wiki/Q1207302,Vessel-Jar,NULL,NULL
120,javelin,Speerwurf,"aus OCRE",javelins,,NULL,NULL,https://www.wikidata.org/wiki/Q3757641,Arms,NULL,NULL
121,jaw,Kiefer,"aus OCRE",jaws,,NULL,NULL,https://www.wikidata.org/wiki/Q180284,BodyParts,NULL,NULL
122,kalathos,Kalathos,Korb,"calathos, kalathoi",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q492461,Vessel-Jar,NULL,NULL
123,kline,Kline,Liege,klinai,,NULL,NULL,https://www.wikidata.org/wiki/Q922892,Interieur-Furniture,NULL,NULL
124,knee,Knie,"aus OCRE",knees,,NULL,NULL,https://www.wikidata.org/wiki/Q37425,BodyParts,NULL,NULL
125,krater,Krater,Weinmischgefäß,"crater, kraters, craters",,NULL,NULL,https://www.wikidata.org/wiki/Q476968,Vessel-Jar,NULL,NULL
126,kyrbasia,Kyrbasia,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q110127911,Clothing,NULL,NULL
127,ladder,Leiter,NULL,ladders,,NULL,NULL,https://www.wikidata.org/wiki/Q168639,Tools,NULL,NULL
128,lance,Lanze,NULL,lances,,NULL,NULL,https://www.wikidata.org/wiki/Q2003053,Arms,NULL,NULL
129,"laurel branch",Lorbeerzweig,NULL,"laurel branches",,NULL,NULL,https://www.wikidata.org/wiki/Q62382636,Ornaments,NULL,NULL
130,"laurel wreath",Lorbeerkranz,NULL,"laurel wreaths",,NULL,NULL,https://www.wikidata.org/wiki/Q734844,Ornaments,NULL,NULL
131,leash,Leine,NULL,leashes,,NULL,NULL,https://www.wikidata.org/wiki/Q384873,Tools,AnimalRestraints,NULL
132,"lion skin",Löwenfell,NULL,"lion skins, lionskin, lionskins",,NULL,NULL,https://www.wikidata.org/wiki/Q19295193,Clothing,NULL,NULL
133,lituus,Lituus,"aus OCRE",NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1553522,SacrificialImplements,NULL,NULL
134,lyre,Leier,NULL,lyres,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q201129,MusicalInstruments,NULL,NULL
135,mappa,Karte,"aus OCRE",mappae,,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/mappa_object,Ornaments,NULL,NULL
136,mattock,Hacke,"aus OCRE",mattocks,,NULL,NULL,https://www.wikidata.org/wiki/Q8193873,Tools,NULL,NULL
137,mausoleum,Mausoleum,"aus OCRE",mausolea,Mausoleen,NULL,NULL,https://www.wikidata.org/wiki/Q162875,Architecture,NULL,NULL
138,"military attire",Feldherrengewand,NULL,NULL,"Kriegsbekleidung, Kriegertracht",NULL,NULL,https://www.wikidata.org/wiki/Q485027,Clothing,Armour,NULL
139,mitra,Mitra,Kopfbedeckung,mitrae,Mitren,NULL,NULL,https://www.wikidata.org/wiki/Q193888,Clothing,Headdress,NULL
140,modius,Modius,"aus OCRE",modia,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q669909,Vessel-Jar,NULL,NULL
141,mouth,Maul,NULL,mouths,"Mäuler, Mund, Münder",NULL,NULL,https://www.wikidata.org/wiki/Q9635,BodyParts,NULL,NULL
142,"mural crown",Mauerkrone,NULL,"mural crowns",,NULL,NULL,https://www.wikidata.org/wiki/Q429340,Ornaments,NULL,NULL
143,"naval ram",Rammsporn,NULL,"naval rams",,NULL,NULL,https://www.wikidata.org/wiki/Q778702,NauticalObject,Ship,ShipPart
144,necklace,Halskette,NULL,necklaces,,NULL,NULL,https://www.wikidata.org/wiki/Q189299,Ornaments,Jewellery,NULL
145,nymphaeum,Nymphaeum,NULL,nymphaea,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q731966,Architecture,NULL,NULL
146,"oak wreath",Eichenkranz,NULL,"oak wreaths",,NULL,NULL,https://www.wikidata.org/wiki/Q58097277,Ornaments,NULL,NULL
147,oar,Ruder,"aus OCRE",oars,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q2003749,Ornaments,NULL,NULL
148,obelisk,Obelisk,Steinpfeiler,obelisks,,NULL,NULL,https://www.wikidata.org/wiki/Q170980,Architecture,NULL,NULL
149,object,Objekt,NULL,objects,,NULL,NULL,https://www.wikidata.org/wiki/Q488383,Ocre_object,NULL,NULL
150,oinochoe,Oinochoe,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q831869,Vessel-Jar,NULL,NULL
151,olive-branch,Olivenzweig,NULL,olive-branches,,NULL,NULL,https://www.wikidata.org/wiki/Q138550,Ornaments,NULL,NULL
152,omphalos,Omphalos,"Stein, der den Nabel der Welt markiert (Delphi)",omphaloi,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q761739,Stone,NULL,NULL
153,ore,Erz,NULL,ores,,NULL,NULL,https://www.wikidata.org/wiki/Q102798,Metal,NULL,NULL
154,ornament,Ornament,NULL,"ornaments, ornamented",,NULL,NULL,https://www.wikidata.org/wiki/Q335261,Ornaments,NULL,NULL
155,palladium,Palladium,"aus OCRE",palladia,"Palladien,  Palladion",NULL,NULL,https://www.wikidata.org/wiki/Q829650,Statues,NULL,NULL
156,"palm branch",Palmzweig,NULL,"palm branches",Palmenzweige,NULL,NULL,https://www.wikidata.org/wiki/Q696809,Ornaments,NULL,NULL
157,paludamentum,Paludamentum,Feldherrenmantel,paludamenta,Paludamenten,padulamentum,padulamentum,https://www.wikidata.org/wiki/Q637970,Clothing,NULL,NULL
158,parazonium,Parazonium,Zierelement,parazonia,Parazonien,NULL,NULL,https://www.wikidata.org/wiki/Q542336,Arms,NULL,NULL
159,patera,Patera,Spendeschale,paterae,Schale,pathera,pathera,https://www.wikidata.org/wiki/Q1109404,Vessel-Jar,NULL,NULL
160,pearl,Perle,NULL,pearls,,NULL,NULL,https://www.wikidata.org/wiki/Q43436,Ornaments,Jewellery,NULL
161,pediment,Giebel,Giebel,pediments,,NULL,NULL,https://www.wikidata.org/wiki/Q190996,Architecture,ArchitecturalElements,NULL
162,pedum,Pedum,"Krummstab, Hirtenstab","peda, crook",Hirtenstab,NULL,NULL,https://www.wikidata.org/wiki/Q506002,Bar,NULL,NULL
163,pellet,Pellet,NULL,pellets,Pellette,NULL,NULL,https://www.wikidata.org/wiki/Q60434742,Ornaments,NULL,NULL
164,pelta,Pelta,"orientalischer Schild",peltae,Pelten,NULL,NULL,https://www.wikidata.org/wiki/Q1460115,Arms,NULL,NULL
165,petasus,Petasus,Sonnenhut,"petasoi, petasos,  petasi","Petasen,  Petasos",NULL,NULL,https://www.wikidata.org/wiki/Q910792,Clothing,Headdress,NULL
166,phallus,Phallus,NULL,phalli,Phalli,NULL,NULL,https://www.wikidata.org/wiki/Q168552,BodyParts,NULL,NULL
167,pileus,Pileus,"aus OCRE",piloi,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q1778772,Clothing,Headdress,NULL
168,pilos,Pilos,Kappe,piloi,,NULL,NULL,https://www.wikidata.org/wiki/Q1778772,Clothing,Headdress,NULL
169,pincer,Zange,"aus OCRE","pincers, tongs",,NULL,NULL,https://www.wikidata.org/wiki/Q840979,Tools,NULL,NULL
170,platform,Plattform,"aus OCRE",platforms,,NULL,NULL,https://www.wikidata.org/wiki/Q22079390,Architecture,NULL,NULL
171,plectrum,Plektron,NULL,plectra,"Plektrum,  Plectren,  Plektren, Plectrum",NULL,NULL,https://www.wikidata.org/wiki/Q181890,MusicalInstruments,NULL,NULL
172,plinth,Plinthe,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q268205,Architecture,NULL,NULL
173,plow,Pflug,NULL,plows,,NULL,NULL,https://www.wikidata.org/wiki/Q11464,Tools,NULL,NULL
174,polos,Polos,Kopfschmuck,poloi,,NULL,NULL,https://www.wikidata.org/wiki/Q2067714,Clothing,Headdress,NULL
175,pot,Topf,NULL,pots,,NULL,NULL,https://www.wikidata.org/wiki/Q3399907,Vessel-Jar,NULL,NULL
