value,link
roofs,https://www.wikidata.org/wiki/Q83180
rosette,https://www.wikidata.org/wiki/Q1277215
rosettes,https://www.wikidata.org/wiki/Q1277215
rudder,https://www.wikidata.org/wiki/Q209760
rudders,https://www.wikidata.org/wiki/Q209760
sail,https://www.wikidata.org/wiki/Q25999
sails,https://www.wikidata.org/wiki/Q25999
sandal,https://www.wikidata.org/wiki/Q131704
sandals,https://www.wikidata.org/wiki/Q131704
scale,https://www.wikidata.org/wiki/Q188488
"scale cuirass",https://www.wikidata.org/wiki/Q574602
"scale cuirasses",https://www.wikidata.org/wiki/Q574602
scaled,https://www.wikidata.org/wiki/Q188488
scales,https://www.wikidata.org/wiki/Q134566
scepter,https://www.wikidata.org/wiki/Q152065
scepters,https://www.wikidata.org/wiki/Q152065
sceptre,https://www.wikidata.org/wiki/Q152065
sceptres,https://www.wikidata.org/wiki/Q152065
scroll,https://www.wikidata.org/wiki/Q720106
scrolls,https://www.wikidata.org/wiki/Q720106
"serpent staff",https://www.wikidata.org/wiki/Q223377
"serpent staffs",https://www.wikidata.org/wiki/Q223377
shield,https://www.wikidata.org/wiki/Q131559
"shield boss",https://www.wikidata.org/wiki/Q721086
shields,https://www.wikidata.org/wiki/Q131559
ship,https://www.wikidata.org/wiki/Q11446
ships,https://www.wikidata.org/wiki/Q11446
shoulder,https://www.wikidata.org/wiki/Q16363
shoulders,https://www.wikidata.org/wiki/Q16363
shrine,https://www.wikidata.org/wiki/Q697295
shrines,https://www.wikidata.org/wiki/Q697295
sickle,https://www.wikidata.org/wiki/Q42233
sickles,https://www.wikidata.org/wiki/Q42233
simpula,https://www.wikidata.org/wiki/Q574487
simpulum,https://www.wikidata.org/wiki/Q574487
simulacra,https://www.wikidata.org/wiki/Q1412596
simulacrum,https://www.wikidata.org/wiki/Q1412596
sistra,https://www.wikidata.org/wiki/Q426948
sistrum,https://www.wikidata.org/wiki/Q426948
situla,https://www.wikidata.org/wiki/Q1650313
situlae,https://www.wikidata.org/wiki/Q1650313
skirt,https://www.wikidata.org/wiki/Q2160801
skirts,https://www.wikidata.org/wiki/Q2160801
spear,https://www.wikidata.org/wiki/Q44475
spearhead,https://www.wikidata.org/wiki/Q44475
spearheads,https://www.wikidata.org/wiki/Q44475
spears,https://www.wikidata.org/wiki/Q44475
spoke,https://www.wikidata.org/wiki/Q845671
spokes,https://www.wikidata.org/wiki/Q845671
sprinkler,http://www.dbis.cs.uni-frankfurt.de/cnt/id/sprinkler_object
sprinklers,http://www.dbis.cs.uni-frankfurt.de/cnt/id/sprinkler_object
staff,https://www.wikidata.org/wiki/Q10971443
staffs,https://www.wikidata.org/wiki/Q10971443
standard,https://www.wikidata.org/wiki/Q351240
standards,https://www.wikidata.org/wiki/Q351240
star,https://www.wikidata.org/wiki/Q1191504
stars,https://www.wikidata.org/wiki/Q1191504
statue,https://www.wikidata.org/wiki/Q179700
statues,https://www.wikidata.org/wiki/Q179700
statuette,https://www.wikidata.org/wiki/Q1066288
statuettes,https://www.wikidata.org/wiki/Q1066288
stefane,https://www.wikidata.org/wiki/Q7608187
step,https://www.wikidata.org/wiki/Q53996838
stephane,https://www.wikidata.org/wiki/Q7608187
stephanoi,https://www.wikidata.org/wiki/Q7608187
